date,store,category,vendor_no,item,state_btl_cost,btl_price,bottle_qty,total
2014-01-08,4289,1081335,434,82146,4.09,6.14,2,12.28
2014-01-08,4273,1041150,370,33256,6.49,9.74,1,9.74
2014-01-08,4273,1081015,305,64136,13.86,20.79,2,41.58
2014-01-08,4289,1051100,350,54446,5.48,8.22,2,16.44
2014-01-08,4299,1081400,65,86112,2.22,3.33,2,6.66
2014-01-08,4346,1051120,350,55506,5.48,8.22,3,24.66
2014-01-08,4346,1051100,350,54446,5.48,8.22,3,24.66
2014-01-08,4453,1051140,350,56206,5.48,8.22,3,24.66
2014-01-08,4462,1051100,55,54436,4.5,6.74,2,13.48
2014-01-08,4463,1041150,370,33266,6.49,9.74,2,19.48
2014-01-08,4463,1051100,350,54444,3.55,5.33,12,63.96
2014-01-08,4463,1081220,350,78456,4.65,6.97,2,13.94
2014-01-08,4463,1081315,421,82957,9.87,14.8,2,29.6
2014-01-08,4472,1081315,65,82618,11.54,17.31,12,207.72
2014-01-08,4509,1081015,305,64136,13.86,20.79,1,20.79
2014-01-08,4588,1041150,370,33256,6.49,9.74,2,19.48
2014-01-08,4670,1051120,434,55246,5.38,8.06,2,16.12
2014-01-08,4670,1051100,350,54444,3.55,5.33,3,15.99
2014-01-08,4670,1051100,55,54436,4.5,6.74,3,20.22
2014-01-08,4670,1051120,350,55504,3.55,5.33,4,21.32
2014-01-08,4670,1081015,305,64136,13.86,20.79,2,41.58
2014-01-08,4681,1051100,434,54057,6.38,9.56,12,114.72
2014-01-08,4681,1081305,55,84159,9.5,14.25,1,14.25
2014-01-08,4762,1081015,305,64136,13.86,20.79,1,20.79
2014-01-08,4762,1051140,350,56206,5.48,8.22,3,24.66
2014-01-08,4762,1081335,434,82146,4.09,6.14,3,18.42
2014-01-08,4762,1081220,434,78036,4.5,6.75,3,20.25
2014-01-08,4807,1051100,350,54446,5.48,8.22,3,24.66
2014-01-08,4862,1081365,421,83906,3.67,5.5,12,66
2014-01-08,4862,1051100,350,54446,5.48,8.22,2,16.44
2014-01-08,4901,1081400,65,86112,2.22,3.33,6,19.98
2014-01-08,4901,1081315,65,82881,6.77,10.15,4,40.6
2014-01-08,4914,1081315,380,84636,7.45,11.17,3,33.51
2014-01-08,4947,1081400,350,86506,3.33,4.99,12,59.88
2014-01-08,4963,1051140,350,56206,5.48,8.22,1,8.22
2014-01-08,4964,1081315,380,84636,7.45,11.17,1,11.17
2014-01-08,4964,1081400,434,86251,2.21,3.31,1,3.31
