productSKU,name,stockLevel,ratio,restockingLeadTime,total_ordered
GGOEGBJC014399," Tote Bag",155,0.01935483870967742,6,3
GGOEGAAX0626,Android Infant Short Sleeve Tee Pink,21,0.09523809523809523,7,2
GGOEADWQ015699,Android Rise 14 oz Mug,342,0.005847953216374269,7,2
GGOEGEHQ071199," High Capacity 10,400mAh Charger",84,0.023809523809523808,17,2
GGOEAOCB077499,Android RFID Journal,86,0.023255813953488372,9,2
GGOEGAAX0352,Android Men's Vintage Henley,37,0.05405405405405406,15,2
GGOEAAEH035217,Android Men's Vintage Henley,10,0.2,19,2
GGOEYAAB031816," Men's Short Sleeve Hero Tee Black",20,0.1,19,2
GGOEGAEJ031313," Tri-blend Hoodie Grey",62,0.03225806451612903,16,2
GGOEGAAC035016," Men's Bayside Graphic Tee",3,0.6666666666666666,14,2
GGOEGAAX0283,Android Women's Short Sleeve Hero Tee Black,11,0.18181818181818182,7,2
GGOEYAFB073116," Men's Fleece Hoodie Black",22,0.09090909090909091,12,2
GGOEGATJ060516," Women's Quilted Insulated Vest White",5,0.4,5,2
GGOEGAAX0578," Women's Performance Full Zip Jacket Black",17,0.11764705882352941,13,2
GGOEGAAX0661," Toddler Short Sleeve Tee Red",17,0.11764705882352941,13,2
GGOEGAEC033113," Men's Long Sleeve Raglan Ocean Blue",36,0.05555555555555555,18,2
GGOEGAAX0655," Toddler Short Sleeve T-shirt Grey",123,0.016260162601626018,5,2
GGOEGAAX0280," Women's Short Sleeve Hero Tee Grey",52,0.038461538461538464,19,2
GGOEGOLC014299," Metallic Notebook Set",610,0.003278688524590164,5,2
GGOEGAAX0618," Infant Short Sleeve Tee Red",15,0.13333333333333333,18,2
GGOEAAEJ035713,Android Men's Vintage Tank,15,0.13333333333333333,10,2
GGOEGAEA030415," Womens 3/4 Sleeve Baseball Raglan Heather/Black",33,0.06060606060606061,15,2
GGOEGAPB057813,Women's Performance Full Zip Jacket Black,33,0.06060606060606061,14,2
GGOEGAAL010615," Men's 100% Cotton Short Sleeve Hero Tee Navy",66,0.030303030303030304,14,2
GGOEGAAX0351," Men's Vintage Henley",133,0.015037593984962405,9,2
GGOEGOAR013099," Stylus Pen w/ LED Light",2164,0.0009242144177449168,39,2
GGOEYAFB073115," Men's Fleece Hoodie Black",175,0.011428571428571429,17,2
GGOEGAAX0622," Infant Short Sleeve Tee White",55,0.03636363636363636,19,2
GGOEGAAJ032817," Men's Long & Lean Tee Charcoal",102,0.0196078431372549,17,2
GGOEGAAX0366," Women's Scoop Neck Tee White",81,0.024691358024691357,18,2
GGOEGAEQ027913," Women's Short Sleeve Hero Tee White",65,0.03076923076923077,7,2
GGOEGCBB074199," Car Clip Phone Holder",205,0.00975609756097561,5,2
GGOEGAAX0334,Android Men's Long Sleeve Badge Crew Tee Heather,87,0.022988505747126436,13,2
